iter	Passed	Remaining
0	130	130498
1	132	66230
2	135	44901
3	138	34388
4	140	27979
5	143	23715
6	145	20644
7	147	18327
8	151	16674
9	153	15233
10	156	14051
11	158	13082
12	161	12236
13	163	11507
14	166	10907
15	168	10392
16	172	9951
17	174	9514
18	177	9138
19	179	8815
20	182	8517
21	184	8212
22	186	7937
23	188	7676
24	190	7448
25	193	7259
26	195	7053
27	197	6862
28	199	6687
29	202	6553
30	204	6399
31	206	6253
32	209	6125
33	210	5990
34	213	5881
35	215	5770
36	217	5660
37	219	5561
38	222	5476
39	271	6523
40	273	6403
41	275	6273
42	276	6143
43	277	6034
44	278	5910
45	279	5793
46	280	5683
47	281	5576
48	281	5472
49	282	5372
50	284	5297
51	290	5302
52	292	5218
53	293	5136
54	294	5056
55	295	4975
56	296	4899
57	297	4829
58	298	4758
59	299	4687
60	300	4620
61	301	4559
62	302	4495
63	303	4432
64	303	4371
65	304	4309
66	305	4250
67	305	4188
68	306	4133
69	307	4079
70	307	4028
71	309	3987
72	310	3946
73	311	3900
74	312	3853
75	313	3807
76	314	3765
77	314	3721
78	315	3678
79	316	3635
80	316	3593
81	317	3553
82	318	3513
83	318	3474
84	318	3433
85	319	3395
86	320	3358
87	321	3330
88	322	3301
89	323	3268
90	323	3235
91	324	3204
92	325	3174
93	326	3143
94	326	3113
95	327	3082
96	327	3052
97	328	3023
98	329	2994
99	329	2966
100	330	2939
101	330	2910
102	331	2883
103	332	2862
104	333	2844
105	335	2827
106	335	2803
107	336	2779
108	337	2757
109	338	2735
110	338	2712
111	339	2689
112	339	2667
113	340	2646
114	341	2624
115	341	2602
116	342	2581
117	342	2561
118	343	2543
119	344	2523
120	344	2504
121	346	2490
122	346	2470
123	347	2456
124	348	2440
125	349	2423
126	350	2407
127	350	2388
128	351	2371
129	351	2354
130	352	2337
131	352	2320
132	353	2304
133	354	2288
134	354	2272
135	355	2256
136	355	2241
137	356	2225
138	356	2211
139	357	2196
140	359	2187
141	360	2175
142	361	2165
143	361	2151
144	362	2138
145	363	2126
146	364	2113
147	364	2100
148	365	2087
149	366	2075
150	366	2062
151	367	2051
152	368	2039
153	369	2027
154	369	2015
155	370	2006
156	372	1998
157	373	1988
158	373	1977
159	375	1968
160	375	1959
161	376	1948
162	377	1937
163	378	1927
164	378	1917
165	379	1906
166	380	1895
167	380	1885
168	381	1874
169	382	1865
170	383	1859
171	384	1851
172	386	1845
173	386	1836
174	387	1826
175	388	1817
176	388	1807
177	389	1797
178	389	1788
179	390	1779
180	390	1768
181	391	1758
182	392	1750
183	392	1741
184	393	1732
185	394	1724
186	394	1716
187	395	1707
188	395	1699
189	396	1690
190	397	1681
191	397	1673
192	398	1665
193	399	1657
194	399	1650
195	400	1643
196	403	1643
197	404	1636
198	404	1629
199	405	1622
200	406	1614
201	406	1607
202	407	1599
203	407	1591
204	408	1584
205	409	1577
206	409	1570
207	410	1563
208	411	1556
209	411	1549
210	412	1542
211	413	1538
212	415	1533
213	415	1527
214	416	1520
215	417	1514
216	418	1509
217	419	1503
218	419	1496
219	420	1490
220	421	1485
221	422	1479
222	422	1473
223	423	1467
224	424	1461
225	425	1456
226	426	1453
227	427	1448
228	428	1442
229	429	1437
230	429	1431
231	430	1426
232	431	1420
233	432	1415
234	433	1410
235	434	1405
236	434	1399
237	435	1394
238	436	1389
239	437	1384
240	438	1379
241	438	1374
242	440	1373
243	441	1369
244	442	1363
245	443	1358
246	443	1353
247	444	1347
248	445	1342
249	445	1337
250	446	1332
251	447	1327
252	447	1322
253	448	1317
254	449	1312
255	450	1307
256	451	1305
257	452	1300
258	453	1296
259	453	1291
260	454	1286
261	455	1281
262	455	1277
263	456	1273
264	457	1268
265	458	1264
266	458	1259
267	459	1254
268	460	1250
269	460	1246
270	461	1241
271	462	1237
272	463	1233
273	464	1230
274	466	1228
275	467	1225
276	468	1221
277	468	1217
278	469	1213
279	471	1212
280	472	1209
281	473	1205
282	474	1201
283	474	1197
284	476	1194
285	477	1191
286	478	1188
287	479	1185
288	480	1182
289	481	1178
290	482	1174
291	482	1170
292	483	1166
293	484	1162
294	484	1158
295	485	1154
296	486	1150
297	486	1146
298	487	1142
299	488	1140
300	489	1137
301	490	1134
302	491	1130
303	492	1126
304	492	1123
305	493	1119
306	494	1115
307	494	1111
308	495	1107
309	495	1103
310	496	1099
311	497	1096
312	497	1092
313	498	1088
314	498	1084
315	499	1081
316	500	1078
317	501	1075
318	502	1073
319	503	1069
320	504	1066
321	504	1062
322	505	1059
323	506	1056
324	506	1052
325	507	1048
326	507	1045
327	508	1041
328	509	1038
329	509	1034
330	510	1031
331	510	1027
332	511	1024
333	512	1021
334	513	1019
335	514	1016
336	515	1013
337	516	1011
338	516	1008
339	517	1005
340	518	1002
341	519	998
342	519	995
343	520	992
344	521	989
