iter	Passed	Remaining
0	153	153713
1	156	77952
2	159	53108
3	161	40216
4	165	32893
5	167	27702
6	168	23896
7	176	21826
8	179	19746
9	180	17888
10	181	16344
11	182	15064
12	192	14579
13	193	13658
14	195	12837
15	197	12125
16	198	11480
17	204	11174
18	206	10679
19	209	10244
20	210	9821
21	212	9454
22	215	9148
23	216	8823
24	221	8627
25	225	8447
26	228	8229
27	229	7982
28	231	7752
29	233	7561
30	235	7360
31	236	7168
32	243	7131
33	245	6980
34	247	6818
35	248	6662
36	250	6518
37	252	6384
38	255	6297
39	257	6180
40	259	6060
41	260	5948
42	263	5855
43	268	5833
44	270	5736
45	271	5639
46	273	5544
47	275	5455
48	276	5370
49	282	5361
50	284	5287
51	286	5228
52	288	5150
53	289	5074
54	292	5033
55	299	5041
56	301	4988
57	304	4952
58	306	4894
59	308	4832
60	314	4839
61	316	4789
62	322	4797
63	330	4838
64	334	4807
65	335	4750
66	337	4695
67	339	4650
68	342	4626
69	345	4587
70	347	4542
71	349	4506
72	350	4455
73	352	4408
74	353	4361
75	358	4358
76	360	4316
77	361	4276
78	363	4237
79	365	4201
80	366	4159
81	368	4120
82	368	4074
83	371	4050
84	373	4025
85	375	3996
86	377	3962
87	379	3928
88	380	3898
89	382	3866
90	383	3831
91	388	3835
92	390	3805
93	392	3782
94	393	3751
95	395	3722
96	397	3697
97	398	3667
98	402	3667
99	404	3638
100	405	3611
101	407	3584
102	408	3557
103	409	3531
104	411	3504
105	412	3478
106	413	3452
107	416	3437
108	417	3414
109	419	3394
110	420	3369
111	422	3346
112	423	3321
113	424	3298
114	425	3275
115	427	3259
116	428	3234
117	433	3241
118	435	3223
119	436	3204
120	438	3184
121	439	3163
122	440	3144
123	442	3123
124	443	3103
125	446	3100
126	448	3083
127	450	3065
128	451	3049
129	453	3033
130	455	3019
131	457	3005
132	461	3006
133	462	2991
134	465	2979
135	466	2963
136	467	2946
137	469	2931
138	470	2916
139	472	2902
140	478	2915
141	479	2897
142	481	2883
143	482	2869
144	484	2855
145	486	2843
146	487	2831
147	491	2831
148	493	2817
149	494	2804
150	496	2790
151	497	2777
152	499	2762
153	500	2748
154	501	2736
155	508	2748
156	509	2735
157	510	2722
158	512	2712
159	514	2699
160	515	2684
161	516	2672
162	517	2659
163	521	2660
164	523	2648
165	525	2638
166	526	2626
167	528	2616
168	530	2606
169	531	2594
170	535	2596
171	537	2586
172	538	2575
173	540	2563
174	541	2551
175	542	2539
176	544	2531
177	548	2531
178	550	2526
179	552	2515
180	553	2505
181	555	2495
182	556	2483
183	557	2473
184	559	2465
185	561	2455
186	563	2449
187	565	2442
188	567	2433
189	568	2424
190	570	2414
191	571	2405
192	575	2406
193	577	2398
194	578	2387
195	579	2377
196	580	2367
197	581	2356
198	582	2346
199	583	2335
200	584	2325
201	585	2314
202	587	2305
203	591	2307
204	592	2298
205	594	2293
206	596	2283
207	597	2275
208	598	2266
209	600	2257
210	601	2248
211	602	2239
212	604	2233
213	605	2224
214	609	2224
215	610	2215
216	611	2207
217	612	2198
218	614	2190
219	615	2181
220	619	2184
221	621	2179
222	623	2170
223	624	2163
224	625	2156
225	627	2149
226	629	2142
227	630	2133
228	634	2136
229	636	2129
230	637	2122
231	639	2116
232	640	2109
233	641	2100
234	642	2092
235	644	2085
236	645	2077
237	651	2086
238	652	2078
239	653	2070
240	654	2062
241	656	2054
242	657	2047
243	658	2041
244	660	2034
245	665	2039
246	666	2032
247	667	2024
248	668	2016
249	669	2009
250	670	2001
251	672	1995
252	673	1988
253	674	1981
254	675	1974
255	679	1975
256	681	1970
257	682	1963
258	683	1956
259	684	1949
260	686	1942
261	687	1935
262	688	1929
263	689	1922
264	690	1915
265	694	1916
266	696	1910
267	697	1903
268	698	1898
269	699	1891
270	700	1884
271	702	1879
272	703	1872
273	704	1867
274	710	1872
275	711	1867
276	712	1860
277	713	1854
278	715	1848
279	716	1842
280	717	1835
281	718	1829
282	719	1823
283	721	1818
284	725	1820
285	726	1814
286	727	1808
287	729	1802
288	730	1796
289	731	1790
290	733	1786
291	734	1780
292	736	1777
293	740	1777
294	741	1771
295	742	1765
296	744	1761
297	745	1755
298	746	1751
299	748	1746
300	750	1743
301	755	1746
302	758	1744
303	760	1741
304	762	1736
305	763	1731
306	765	1727
307	769	1729
308	771	1725
309	772	1720
310	774	1715
311	775	1710
312	776	1704
313	778	1701
314	780	1696
315	781	1690
316	786	1695
317	788	1690
318	790	1686
319	791	1682
320	792	1677
321	794	1671
322	795	1667
323	796	1662
324	802	1666
325	804	1664
